city,alpha,beta,w,tour_len,seconds
AISearchfile026.txt,1.4,1.0,0.9,2021,1.34
AISearchfile026.txt,1.4,1.2,0.5,1833,0.66
AISearchfile026.txt,1.4,1.2,0.7,2051,0.92
AISearchfile026.txt,1.4,1.2,0.9,2044,1.46
AISearchfile026.txt,1.4,1.4,0.5,1862,0.78
AISearchfile026.txt,1.4,1.4,0.7,2018,0.96
AISearchfile026.txt,1.4,1.4,0.9,2016,1.49
AISearchfile026.txt,1.4,1.6,0.5,1941,0.75
AISearchfile026.txt,1.4,1.6,0.7,2000,0.95
AISearchfile026.txt,1.4,1.6,0.9,2094,1.5
AISearchfile026.txt,1.4,1.8,0.5,1973,0.76
AISearchfile026.txt,1.4,1.8,0.7,2048,0.99
AISearchfile026.txt,1.4,1.8,0.9,1999,1.45
AISearchfile026.txt,1.4,2.0,0.5,1948,0.85
AISearchfile026.txt,1.4,2.0,0.7,2005,1.0
AISearchfile026.txt,1.4,2.0,0.9,2031,1.59
AISearchfile026.txt,1.6,1.0,0.5,1641,0.59
AISearchfile026.txt,1.6,1.0,0.7,2063,0.93
AISearchfile026.txt,1.6,1.0,0.9,2101,1.38
AISearchfile026.txt,1.6,1.2,0.5,1771,0.68
AISearchfile026.txt,1.6,1.2,0.7,2083,0.94
AISearchfile026.txt,1.6,1.2,0.9,2054,1.44
AISearchfile026.txt,1.6,1.4,0.5,1785,0.73
AISearchfile026.txt,1.6,1.4,0.7,2014,0.94
AISearchfile026.txt,1.6,1.4,0.9,1980,1.4
AISearchfile026.txt,1.6,1.6,0.5,1951,0.8
AISearchfile026.txt,1.6,1.6,0.7,2018,0.98
AISearchfile026.txt,1.6,1.6,0.9,2057,1.55
AISearchfile026.txt,1.6,1.8,0.5,1809,0.82
AISearchfile026.txt,1.6,1.8,0.7,2073,1.0
AISearchfile026.txt,1.6,1.8,0.9,1982,1.51
AISearchfile026.txt,1.6,2.0,0.5,1982,0.83
AISearchfile026.txt,1.6,2.0,0.7,2053,1.01
AISearchfile026.txt,1.6,2.0,0.9,1957,1.57
AISearchfile026.txt,1.8,1.0,0.5,1853,0.67
AISearchfile026.txt,1.8,1.0,0.7,1992,0.94
AISearchfile026.txt,1.8,1.0,0.9,2063,1.44
AISearchfile026.txt,1.8,1.2,0.5,1785,0.66
AISearchfile026.txt,1.8,1.2,0.7,1815,0.96
AISearchfile026.txt,1.8,1.2,0.9,2093,1.5
AISearchfile026.txt,1.8,1.4,0.5,1843,0.71
AISearchfile026.txt,1.8,1.4,0.7,2082,0.98
AISearchfile026.txt,1.8,1.4,0.9,2061,1.53
AISearchfile026.txt,1.8,1.6,0.5,1787,0.79
AISearchfile026.txt,1.8,1.6,0.7,2052,1.0
AISearchfile026.txt,1.8,1.6,0.9,2004,1.59
AISearchfile026.txt,1.8,1.8,0.5,1921,0.85
AISearchfile026.txt,1.8,1.8,0.7,2031,1.02
AISearchfile026.txt,1.8,1.8,0.9,2100,1.71
AISearchfile026.txt,1.8,2.0,0.5,2038,0.85
AISearchfile026.txt,1.8,2.0,0.7,2073,1.1
AISearchfile026.txt,1.8,2.0,0.9,2139,1.96
AISearchfile026.txt,2.0,1.0,0.5,1872,0.94
AISearchfile026.txt,2.0,1.0,0.7,1945,1.07
AISearchfile026.txt,2.0,1.0,0.9,2108,1.69
AISearchfile026.txt,2.0,1.2,0.5,1980,0.88
AISearchfile026.txt,2.0,1.2,0.7,2075,1.11
AISearchfile026.txt,2.0,1.2,0.9,1869,1.7
AISearchfile026.txt,2.0,1.4,0.5,2014,0.93
AISearchfile026.txt,2.0,1.4,0.7,2065,1.13
AISearchfile026.txt,2.0,1.4,0.9,2116,1.83
AISearchfile026.txt,2.0,1.6,0.5,1991,0.99
AISearchfile026.txt,2.0,1.6,0.7,2090,1.2
AISearchfile026.txt,2.0,1.6,0.9,2016,1.91
AISearchfile026.txt,2.0,1.8,0.5,1832,0.9
AISearchfile026.txt,2.0,1.8,0.7,2058,1.12
AISearchfile026.txt,2.0,1.8,0.9,1982,1.82
AISearchfile026.txt,2.0,2.0,0.5,1990,0.96
AISearchfile026.txt,2.0,2.0,0.7,2058,1.13
AISearchfile026.txt,2.0,2.0,0.9,2056,1.92
AISearchfile042.txt,1.0,1.0,0.5,1770,1.0
AISearchfile042.txt,1.0,1.0,0.7,2209,1.57
AISearchfile042.txt,1.0,1.0,0.9,2265,2.23
AISearchfile042.txt,1.0,1.2,0.5,1695,1.03
AISearchfile042.txt,1.0,1.2,0.7,2274,1.62
AISearchfile042.txt,1.0,1.2,0.9,2303,2.31
AISearchfile042.txt,1.0,1.4,0.5,1936,1.1
AISearchfile042.txt,1.0,1.4,0.7,2315,1.6
AISearchfile042.txt,1.0,1.4,0.9,2286,2.33
AISearchfile042.txt,1.0,1.6,0.5,1973,1.32
AISearchfile042.txt,1.0,1.6,0.7,2324,1.64
AISearchfile042.txt,1.0,1.6,0.9,2329,2.48
AISearchfile042.txt,1.0,1.8,0.5,2166,1.39
AISearchfile042.txt,1.0,1.8,0.7,2334,1.71
AISearchfile042.txt,1.0,1.8,0.9,2364,2.56
AISearchfile042.txt,1.0,2.0,0.5,2057,1.36
AISearchfile042.txt,1.0,2.0,0.7,2310,1.75
AISearchfile042.txt,1.0,2.0,0.9,2306,2.67
